input_size,sample_num,runtime
1,128,1.3923999999999999
2,128,0.680601
3,128,0.6054999999999999
4,128,0.4657
5,128,0.48729999999999996
6,128,0.48219999999999996
7,128,0.4881
8,128,0.536401
9,128,0.1719
10,128,0.20249999999999999
11,128,0.1442
12,128,0.11499899999999999
13,128,0.14909999999999998
14,128,0.1323
15,128,0.122401
16,128,0.121
17,128,0.1394
18,128,0.120599
19,128,0.1166
20,128,0.11689899999999999
21,128,0.1832
22,128,0.12079999999999999
23,128,0.12029999999999999
24,128,0.1186
25,128,0.1204
26,128,0.1192
27,128,0.1538
28,128,0.12229999999999999
29,128,0.124501
30,128,0.12419999999999999
31,128,0.1244
32,128,0.17099999999999999
33,128,0.12640099999999999
34,128,0.12020099999999999
35,128,0.173701
36,128,0.11989999999999999
37,128,0.14179999999999998
38,128,0.12279999999999999
39,128,0.130299
40,128,0.1347
41,128,0.12269999999999999
42,128,0.12269999999999999
43,128,0.1387
44,128,0.18189999999999998
45,128,0.17779899999999998
46,128,0.1616
47,128,0.13319999999999999
48,128,0.23679999999999998
49,128,0.2522
50,128,0.27149999999999996
51,128,0.2047
52,128,0.2432
53,128,0.2225
54,128,0.19999999999999998
55,128,0.24559999999999998
56,128,0.23509999999999998
57,128,0.18890099999999999
58,128,0.19669999999999999
59,128,0.140101
60,128,0.15059999999999998
61,128,0.14560099999999998
62,128,0.1377
63,128,0.1591
64,128,0.174401
65,128,0.19350099999999998
66,128,0.1888
67,128,0.149899
68,128,0.150201
69,128,0.154299
70,128,0.1787
71,128,0.1777
72,128,0.08399999999999999
73,128,0.0812
74,128,0.085799
75,128,0.08159999999999999
76,128,0.092
77,128,0.0892
78,128,0.107499
79,128,0.09659999999999999
80,128,0.0834
81,128,0.085701
82,128,0.08249999999999999
83,128,0.123501
84,128,0.083199
85,128,0.08159999999999999
86,128,0.082601
87,128,0.084299
88,128,0.0847
89,128,0.0812
90,128,0.0839
91,128,0.080399
92,128,0.082901
93,128,0.0794
94,128,0.1031
95,128,0.08349999999999999
96,128,0.0836
97,128,0.0838
98,128,0.0841
99,128,0.0851
100,128,0.084099
1,256,0.27249999999999996
2,256,0.359699
3,256,0.2704
4,256,0.26970099999999997
5,256,0.278399
6,256,0.40149999999999997
7,256,0.267
8,256,0.2892
9,256,0.2744
10,256,0.2656
11,256,0.2646
12,256,0.26689999999999997
13,256,0.35899899999999996
14,256,0.2612
15,256,0.26839999999999997
16,256,0.2645
17,256,0.271001
18,256,0.41369999999999996
19,256,0.2647
20,256,0.265999
21,256,0.2741
22,256,0.30729999999999996
23,256,0.277699
24,256,0.306399
25,256,0.2652
26,256,0.3968
27,256,0.29219999999999996
28,256,0.3565
29,256,0.2686
30,256,0.284501
31,256,0.268999
32,256,0.27799999999999997
33,256,0.2666
34,256,0.269301
35,256,0.2707
36,256,0.2742
37,256,0.2677
38,256,0.273601
39,256,0.2951
40,256,0.264101
41,256,0.2696
42,256,0.2655
43,256,0.26999999999999996
44,256,0.26849999999999996
45,256,0.267
46,256,0.266801
47,256,0.263301
48,256,0.270101
49,256,0.2601
50,256,0.268799
51,256,0.26520099999999996
52,256,0.3019
53,256,0.3286
54,256,0.2688
55,256,0.289999
56,256,0.271901
57,256,0.26010099999999997
58,256,0.27069899999999997
59,256,0.2592
60,256,0.2595
61,256,0.2682
62,256,0.2628
63,256,0.2646
64,256,0.3942
65,256,0.2627
66,256,0.34639899999999996
67,256,0.2854
