input_size,sample_num,runtime
1,128,1.7306
2,128,0.940801
3,128,0.713001
4,128,0.5515
5,128,0.5590999999999999
6,128,0.558299
7,128,0.5537989999999999
8,128,0.5721999999999999
9,128,0.215
10,128,0.167601
11,128,0.1363
12,128,0.1379
13,128,0.261999
14,128,0.18359899999999998
15,128,0.20580099999999998
16,128,0.19169999999999998
17,128,0.18889999999999998
18,128,0.193
19,128,0.1958
20,128,0.191299
21,128,0.2052
22,128,0.19269899999999998
23,128,0.2145
24,128,0.19119999999999998
25,128,0.187
26,128,0.19219999999999998
27,128,0.1982
28,128,0.1863
29,128,0.1916
30,128,0.185001
31,128,0.2011
32,128,0.1906
33,128,0.18939999999999999
34,128,0.192801
35,128,0.2006
36,128,0.1846
37,128,0.1951
38,128,0.3982
39,128,0.3529
40,128,0.3077
41,128,0.3661
42,128,0.269799
43,128,0.25029999999999997
44,128,0.308199
45,128,0.2689
46,128,0.197399
47,128,0.2591
48,128,0.2118
49,128,0.247999
50,128,0.2145
1,256,0.3963
2,256,0.3994
3,256,0.38949999999999996
4,256,0.533901
5,256,0.6837
6,256,0.5485
7,256,0.535799
8,256,0.44439999999999996
9,256,0.4421
10,256,0.435899
11,256,0.437001
12,256,0.38719899999999996
13,256,0.405601
14,256,0.330801
15,256,0.3308
16,256,0.42579999999999996
17,256,0.4221
18,256,0.4487
19,256,0.4528
20,256,0.414599
21,256,0.47569999999999996
22,256,0.4808
23,256,0.41569999999999996
24,256,0.5801
25,256,0.45829899999999996
26,256,0.4264
27,256,0.33020099999999997
28,256,0.409701
29,256,0.42169999999999996
30,256,0.46299999999999997
31,256,0.43129999999999996
32,256,0.43029999999999996
33,256,0.7815
34,256,0.45199999999999996
35,256,0.428
36,256,0.436301
37,256,0.4372
38,256,0.315
39,256,0.335901
40,256,0.35899899999999996
41,256,0.4092
42,256,0.427
43,256,0.43889999999999996
44,256,0.312001
45,256,0.300301
46,256,0.311201
47,256,0.30779999999999996
48,256,0.306299
49,256,0.3029
50,256,0.43229999999999996
1,512,1.161899
